ts,mode,ticker,interval,price,krw,coin,portfolio_value,action,reason,v_pred,p_sell,p_hold,p_buy,ret1,ret3,ret6,vol_z,ma_diff,cash_ratio,coin_ratio
2025-08-24T16:22:00+09:00,LIVE,KRW-BTC,minute1,159455000.0,42230.19468739,0.00036294,100102.79238739102,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=-0.000154",-0.00015443982556462288,0.00011339414,0.999828,5.863755e-05,0.00038897567647255826,0.00038897567647255826,-0.00016929810260724043,-0.23861557395314423,-0.00020100313420643744,0.42186829837835105,0.578131701621649
2025-08-24T16:23:00+09:00,LIVE,KRW-BTC,minute1,159395000.0,42230.19468739,0.00036294,100081.01598739102,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000213",0.00021289614960551262,8.2087405e-05,0.99989164,2.6203053e-05,-0.00037628170957326734,6.273761873121231e-06,-0.000545516108400923,-0.589386100082188,-0.0002797104557775261,0.4219600917391815,0.5780399082608185
2025-08-24T16:24:00+09:00,LIVE,KRW-BTC,minute1,159454000.0,42230.19468739,0.00036294,100102.429447391,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000181",0.00018072454258799553,7.1404764e-05,0.99991024,1.838768e-05,0.0003701496282819683,0.00038270187523914423,-1.2542644992952212e-05,-0.8431663061053828,-0.0002251431603201172,0.42186982794043126,0.5781301720595687
2025-08-24T16:25:00+09:00,LIVE,KRW-BTC,minute1,159431000.0,42230.19468739,0.00036294,100094.08182739101,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000122",0.00012228218838572502,8.284386e-05,0.9998903,2.6825046e-05,-0.0001442422265982568,-0.00015051268382926253,0.0002384044468703994,-0.5756274675731472,-0.0001928427434843454,0.42190501092976307,0.5780949890702369
2025-08-24T16:26:00+09:00,LIVE,KRW-BTC,minute1,159453000.0,42230.19468739,0.00036294,100102.066507391,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=-0.000118",-0.00011768611147999763,0.00013580541,0.99977285,9.135691e-05,0.00013799072953180058,0.0003638759057686958,0.0003701519505125983,-0.10210880593744395,-0.00010849462763452237,0.42187135751360283,0.5781286424863972
2025-08-24T16:27:00+09:00,LIVE,KRW-BTC,minute1,159453000.0,42230.19468739,0.00036294,100102.066507391,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000479",0.000479105394333601,6.580044e-05,0.9999193,1.4900023e-05,0.0,-6.271401156499046e-06,0.0003764280740057302,-1.0733274662071057,-0.00010159708102806212,0.42187135751360283,0.5781286424863972
2025-08-24T16:28:00+09:00,LIVE,KRW-BTC,minute1,159476000.0,42230.19468739,0.00036294,100110.414127391,1,"π(a|s)=[sell:0.000, hold:1.000, buy:0.000], V(s)=0.000144",0.00014384416863322258,7.560588e-05,0.9999031,2.1279784e-05,0.00014424313120486865,0.00028225376495161214,0.0001316985983506047,-0.7246395937014775,2.1950034822162385e-06,0.42183618013658264,0.5781638198634174
2025-08-24T16:29:00+09:00,LIVE,KRW-BTC,minute1,159476000.0,42230.19468739,0.00036294,100110.414127391,1,"π(a|s)=[sell:0.001, hold:0.984, buy:0.015], V(s)=-0.000295",-0.0002954457886517048,0.0010929393,0.9839945,0.014912682,0.0,0.00014424313120486865,0.0005081715235735196,0.8947382695279741,3.9510446750265755e-05,0.42183618013658264,0.5781638198634174
2025-08-24T16:30:00+09:00,LIVE,KRW-BTC,minute1,159470000.0,42230.19468739,0.00036294,100108.23648739101,1,"π(a|s)=[sell:0.000, hold:0.999, buy:0.001], V(s)=-0.000208",-0.00020787538960576057,0.0002807771,0.9991806,0.00053868064,-3.762321603251184e-05,0.00010661448828175324,0.00010034241850309655,0.3032545743875034,9.658187948337475e-05,0.42184535627804254,0.5781546437219575
2025-08-24T16:31:00+09:00,LIVE,KRW-BTC,minute1,159507000.0,42230.19468739,0.00036294,100121.665267391,2,"π(a|s)=[sell:0.003, hold:0.000, buy:0.996], V(s)=-0.001000",-0.0010000881738960743,0.0033407111,0.00023456043,0.99642473,0.00023201856148502564,0.00019438661616799635,0.00047669524747373515,3.5460202486685324,0.00016086471841618807,0.42178877643122975,0.5782112235687702
